City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Alofi,NU,1/26/2022 22:39,-19.0595,-169.9187,80.49,94,75,9.22
230,Bredasdorp,ZA,1/26/2022 22:38,-34.5322,20.0403,65.28,85,92,8.43
231,Arlit,NE,1/26/2022 22:39,18.7369,7.3853,58.87,25,30,8.84
232,Miandrivazo,MG,1/26/2022 22:39,-19.5167,45.4667,75.63,84,11,2.08
233,Puerto Baquerizo Moreno,EC,1/26/2022 22:40,-0.9,-89.6,81.59,65,75,14.97
234,Pevek,RU,1/26/2022 22:40,69.7008,170.3133,-33.39,98,48,3.06
235,Rockport,US,1/26/2022 22:38,28.0206,-97.0544,59.09,84,75,5.01
236,Taltal,CL,1/26/2022 22:40,-25.4,-70.4833,68.11,75,16,5.14
237,Moctezuma,MX,1/26/2022 22:40,29.8,-109.6667,68.04,22,98,1.63
238,Yumen,CN,1/26/2022 22:40,40.2833,97.2,17.47,48,32,7.49
239,Russkaya Polyana,UA,1/26/2022 22:40,49.417,31.9201,23.14,84,100,3.49
240,Yuzhno-Kurilsk,RU,1/26/2022 22:40,44.0306,145.8556,25.88,85,100,5.3
241,Igarka,RU,1/26/2022 22:40,67.4667,86.5833,-5.93,95,100,23.31
242,San Miguel,SV,1/26/2022 22:40,13.4833,-88.1833,91,49,20,9.22
243,Hofn,IS,1/26/2022 22:40,64.2539,-15.2082,31.86,72,100,5.23
244,Inta,RU,1/26/2022 22:40,66.0317,60.1659,7.88,93,89,8.01
245,Longyearbyen,SJ,1/26/2022 22:40,78.2186,15.6401,10.24,67,40,17.27
246,Astoria,US,1/26/2022 22:38,46.1879,-123.8313,55.94,69,0,5.75
247,Furano,JP,1/26/2022 22:40,43.2818,142.4743,17.1,97,90,1.57
248,Salalah,OM,1/26/2022 22:37,17.0151,54.0924,69.89,64,0,3.44
249,Buchanan,LR,1/26/2022 22:40,5.8808,-10.0467,76.96,84,8,5.23
250,Ustye,RU,1/26/2022 22:40,59.6304,39.736,-2.6,100,99,2.57
251,Pierre,US,1/26/2022 22:40,44.3683,-100.351,47.32,49,0,1.01
252,Batemans Bay,AU,1/26/2022 22:40,-35.7167,150.1833,75.2,54,10,9.04
253,Port Augusta,AU,1/26/2022 22:40,-32.5,137.7667,89.71,42,0,4.74
254,Raga,SS,1/26/2022 22:40,8.4596,25.678,75.45,20,87,9.17
255,Anloga,GH,1/26/2022 22:40,5.7947,0.8973,80.82,76,1,7.74
256,Dekar,BW,1/26/2022 22:40,-21.5333,21.9333,70.81,66,96,4.74
257,Valparaiso,CL,1/26/2022 22:40,-33.0393,-71.6273,73.63,55,0,13.8
258,Havoysund,NO,1/26/2022 22:40,70.9963,24.6622,29.28,80,100,6.49
259,Lavrentiya,RU,1/26/2022 22:40,65.5833,-171,-18.96,88,29,5.14
260,Tatawin,TN,1/26/2022 22:40,32.9297,10.4518,50.88,73,10,2.51
261,Oliveira Dos Brejinhos,BR,1/26/2022 22:40,-12.3169,-42.8961,67.96,93,100,0.63
262,Kodiak,US,1/26/2022 22:39,57.79,-152.4072,35.11,87,100,10.36
263,Keffi,NG,1/26/2022 22:40,8.8486,7.8736,75.69,18,14,3.4
264,Kudahuvadhoo,MV,1/26/2022 22:40,2.6708,72.8944,80.1,68,98,15.48
265,Mama,RU,1/26/2022 22:40,58.3106,112.8986,-20.65,100,92,3.87
