City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Mazatlan,MX,85.96,scattered clouds,23.2167,-106.4167,Hotel La Siesta
287,Nong Kung Si,TH,73.81,overcast clouds,16.65,103.3,บ้าน พี่บิ๊ก
288,Gombong,ID,75.97,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
289,Woodward,US,88.83,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
290,Balkhash,KZ,64.33,clear sky,46.844,74.9804,Family
293,Kununurra,AU,66.18,clear sky,-15.7667,128.7333,Hotel Kununurra
294,Dwarka,IN,82.65,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
295,Domoni,KM,77.59,few clouds,-12.2569,44.5319,Al Djadid
296,Harper,LR,79.79,overcast clouds,4.375,-7.7169,Screensaver
297,Liberal,US,87.04,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
298,Arona,ES,63.12,scattered clouds,28.0996,-16.681,Paradise Court
299,Bouake,CI,78.39,overcast clouds,7.6895,-5.0218,Hotel Residence Nannan
302,Namatanai,PG,81.59,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
303,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
305,Mwinilunga,ZM,62.51,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
306,Padang,ID,78.67,overcast clouds,-0.9492,100.3543,Mercure Padang
308,Ust-Uda,RU,54.19,broken clouds,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
309,Matola,MZ,67.51,few clouds,-25.9622,32.4589,Guesthouse Yuba
311,Mielec,PL,56.79,overcast clouds,50.2871,21.4239,Premium Hostel & Bistro
312,Palaikastron,GR,67.3,clear sky,35.2,26.25,Marina Village
317,Cocobeach,GA,79.74,overcast clouds,1.0002,9.5823,Hotel Esperance
319,Jiuquan,CN,57.45,overcast clouds,39.7432,98.5174,Jiuquan Hotel
321,Baracoa,CU,81.39,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
323,Mogadishu,SO,79.74,clear sky,2.0371,45.3438,Hotel Juba
324,Bad Harzburg,DE,62.26,overcast clouds,51.8833,10.5667,Romantik Hotel Braunschweiger Hof
325,Mayumba,GA,77.32,overcast clouds,-3.432,10.6554,LIKWALE LODGE
326,Awjilah,LY,78.93,clear sky,29.1081,21.2869,المنزل
328,Richards Bay,ZA,64.65,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
329,Nouadhibou,MR,78.78,overcast clouds,20.931,-17.0347,El Medina
330,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
333,Hovd,MN,53.71,overcast clouds,48.0056,91.6419,Hotel Khovd
335,Florianopolis,BR,57.63,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
336,Rincon,US,89.56,few clouds,32.296,-81.2354,Days Inn Rincon
337,Roma,US,61.52,moderate rain,43.2128,-75.4557,Wingate By Wyndham Rome
338,Lethem,GY,80.37,heavy intensity rain,3.3803,-59.7968,Savannah Inn
339,Dali,CN,56.32,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
340,Alcudia,ES,69.37,overcast clouds,39.8532,3.1214,Zafiro Tropic
341,Paita,PE,66.52,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
342,Tomatlan,MX,84.27,overcast clouds,19.9333,-105.25,El Salvial
344,Luwuk,ID,79.59,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
345,Narasannapeta,IN,82.36,broken clouds,18.4167,84.05,AVK events and catering
347,Puerto Ayacucho,VE,77.79,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
349,Sakakah,SA,76.57,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
350,Puerto Madryn,AR,50.58,clear sky,-42.7692,-65.0385,Hotel Tolosa
351,Pangkalanbuun,ID,75.88,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
355,Turkan,AZ,60.98,few clouds,40.3639,50.215,Reshad
356,Hualmay,PE,64.83,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
357,Muros,ES,64.69,light rain,42.7762,-9.0603,Apartment Av. Castelao
358,Kinkala,CG,71.82,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
359,Toppenish,US,73.02,scattered clouds,46.3774,-120.3087,Legends Casino Hotel
360,Carlyle,US,81,clear sky,38.6103,-89.3726,Mariner's Village at Carlyle Lake
361,Tondano,ID,68.09,broken clouds,1.3038,124.9112,Villa Bella
362,Makakilo City,US,80.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
363,Bodden Town,KY,84.99,few clouds,19.2833,-81.25,Will T Place
364,Constitucion,CL,54.16,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
365,Kaeo,NZ,69.33,overcast clouds,-35.1,173.7833,Bushido Lodge
366,Faanui,PF,80.65,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
367,Bulgan,MN,53.83,overcast clouds,48.8125,103.5347,Unitel Булган салбар
368,Itaituba,BR,75.69,overcast clouds,-4.2761,-55.9836,Hotel Campos
370,Manbij,SY,65.75,broken clouds,36.5281,37.9549,Manbej City Hotel
371,Ixtapa,MX,81.63,overcast clouds,20.7,-105.2,hotel la terminal
372,Beruwala,LK,80.42,overcast clouds,6.4788,79.9828,The Palms Hotel
373,Innisfail,AU,75.58,clear sky,-17.5333,146.0333,Moondarra Motel
374,Jacareacanga,BR,75.31,moderate rain,-6.2222,-57.7528,Casa do Ian😎
375,Te Anau,NZ,52.72,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
376,La Vega,DO,86.85,overcast clouds,19.2221,-70.5296,Hotel Rey
378,Bonthe,SL,79.21,moderate rain,7.5264,-12.505,Bonthe Holiday Village
379,Half Moon Bay,US,73.02,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
380,Tabuk,PH,75.45,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
383,Bengkulu,ID,75.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
384,Mishan,CN,56.75,few clouds,45.55,131.8833,Mishan Hotel
385,Nisporeni,MD,61.59,overcast clouds,47.0814,28.1783,Hotel Prietenia
386,Margate,GB,58.3,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
387,Lexington,US,75.92,scattered clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
389,Bulaevo,KZ,54.68,clear sky,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
391,Guayaramerin,BO,70.81,light rain,-10.8368,-65.3614,Hostal Funf
392,Bulawayo,ZW,52.65,clear sky,-20.15,28.5833,4 On Housman Backpackers
393,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
395,Porto Velho,BR,75.25,heavy intensity rain,-8.7619,-63.9039,Ecos Hotel Conforto
396,Bilma,NE,81.81,clear sky,18.6853,12.9164,Expeditions Ténére voyages
398,Grand Gaube,MU,73.8,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
400,Kirakira,SB,84.96,broken clouds,-10.4544,161.9205,SanBiz Lodge
401,Komsomolskiy,UZ,65.12,broken clouds,40.4272,71.7189,Ikathouse
402,Sao Filipe,CV,75.52,scattered clouds,14.8961,-24.4956,Hotel Xaguate
403,Hami,CN,67.87,overcast clouds,42.8,93.45,Laoyutang Resort
404,Berasia,IN,84.88,clear sky,23.6333,77.4333,np__nitin home
405,Swindon,GB,58.39,broken clouds,51.558,-1.7812,Premier Inn Swindon Central hotel
406,Necochea,AR,52.14,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
407,Vila Franca Do Campo,PT,59.41,clear sky,37.7167,-25.4333,Pestana Bahia Praia
408,Lorengau,PG,83.91,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
409,Makurdi,NG,83.91,broken clouds,7.7411,8.5121,Doo Palace Hotel
411,Sao Domingos Do Maranhao,BR,77.23,overcast clouds,-5.5758,-44.3853,Pousada Babaçu
412,Plettenberg Bay,ZA,68.67,clear sky,-34.0527,23.3716,Thanda Vista B&B
413,Alamosa,US,73.38,few clouds,37.4695,-105.87,Best Western Alamosa Inn
